cycle,train_start,train_end,test_start,test_end,train_days,test_days,gpr_median,gpr_corr,gpr_corr_p,overall_lambda,hit_rate,low_stable_jump_prob,low_stable_lambda,low_stable_test_var,low_stable_test_mean,low_stable_test_n,low_rising_jump_prob,low_rising_lambda,low_rising_test_var,low_rising_test_mean,low_rising_test_n,high_rising_jump_prob,high_rising_lambda,high_rising_test_var,high_rising_test_mean,high_rising_test_n,high_falling_jump_prob,high_falling_lambda,high_falling_test_var,high_falling_test_mean,high_falling_test_n
1,1994,2000,2001,2026,1664,6375,72.01234436035156,0.08303128804463875,0.0006980712502328381,2.0552884615384617,0.5843137254901961,0.19640179910044978,2.3568215892053974,-14.97216226699312,1.0184323262574537,1028,0.2994011976047904,3.592814371257485,-36.738301516734275,-7.52056085302536,49.0,0.15302491103202848,1.836298932384342,-13.43120698647147,0.8858491703490423,2815,0.06716417910447761,0.8059701492537313,-12.904858060924832,1.0681668663899617,2483
2,1994,2001,2002,2026,1912,6127,71.62308502197266,0.15455726668285907,1.0855124799486782e-11,2.1464435146443517,0.5877264566672107,0.2136181575433912,2.563417890520695,-12.318674715917115,1.5784427863882253,913,0.30288461538461536,3.6346153846153846,,,,0.15873015873015872,1.9047619047619049,-13.267239030025374,0.8822011129835814,2754,0.05846153846153846,0.7015384615384616,-12.917909148541314,0.9549821325413752,2459
3,1994,2002,2003,2026,2164,5875,76.62184143066406,0.10089550749833719,2.565772725680894e-06,2.3955637707948245,0.5914893617021276,0.20817843866171004,2.4981412639405205,-12.23387208114854,1.3409029372984858,1144,0.28,3.3600000000000003,-2.83871614286633,2.7452437295628984,7.0,0.19910846953937592,2.389301634472511,-12.057094787799967,1.2450362420620453,2638,0.1295843520782396,1.5550122249388751,-11.440458490899628,1.2233821396820155,2086
4,1994,2003,2004,2026,2416,5623,82.27760314941406,0.11692875804005848,8.205262810301031e-09,2.2003311258278146,0.5906099946647697,0.20092915214866433,2.411149825783972,-11.639815959400861,1.305109913797973,1445,0.25862068965517243,3.1034482758620694,-6.803662393339055,3.5380835792687395,39.0,0.17902097902097902,2.1482517482517482,-12.058795582587166,1.0909557498932358,2491,0.10569105691056911,1.2682926829268293,-11.959385393577616,0.9415305870393336,1648
5,1994,2004,2005,2026,2668,5371,88.3863754272461,0.1046928240949529,5.958857397987043e-08,2.1229385307346327,0.5911375907652207,0.1905781584582441,2.2869379014989293,-11.656447278674854,1.121893738957543,1721,0.2518703241895262,3.0224438902743147,-7.68156721002724,2.9296332259535753,105.0,0.17142857142857143,2.0571428571428574,-11.956442191373872,1.2349462615281068,2317,0.108348134991119,1.300177619893428,-12.214193598237724,1.4373605365771616,1228
6,1994,2005,2006,2026,2920,5119,90.81967544555664,0.10094853251197687,4.5877121749357624e-08,1.943835616438356,0.5964055479585857,0.1718146718146718,2.061776061776061,-12.356689689560744,0.9879227116129711,1760,0.24528301886792453,2.943396226415094,-8.944084908610582,2.4852053450165186,155.0,0.15087719298245614,1.8105263157894735,-12.131852986614598,1.1517490347431478,2159,0.1024793388429752,1.2297520661157024,-12.405680765736625,1.6460477768637995,1045
7,1994,2006,2007,2026,3171,4868,92.90912628173828,0.10354492929047909,5.090098080780995e-09,1.869441816461684,0.5934675431388661,0.1625659050966608,1.9507908611599298,-12.40768175611863,1.1324343615151637,1763,0.24107142857142858,2.8928571428571432,-9.026941588351436,2.207240166198555,205.0,0.14861995753715498,1.78343949044586,-12.228169453104597,1.2835453261673393,1998,0.09486780715396578,1.1384136858475893,-12.83916339652742,1.71803383082,902
8,1994,2007,2008,2026,3422,4617,93.98254013061523,0.10176199250266374,2.428764395985816e-09,1.8550555230859147,0.5765648689625298,0.1581059390048154,1.8972712680577846,-11.628936940920084,1.3158095535168413,1703,0.23870967741935484,2.864516129032258,-9.396058181197382,2.1287699813815024,222.0,0.1489971346704871,1.7879656160458453,-11.65117037277386,1.5129079478108785,1859,0.09789156626506024,1.1746987951807226,-12.881122403384172,1.8519524047193636,833
9,1994,2008,2009,2026,3675,4364,92.7673568725586,0.10513267579923574,1.6711262334409194e-10,1.9689795918367348,0.5311640696608616,0.175,2.0999999999999996,-10.290833202270813,1.8157167092245123,1531,0.2301255230125523,2.761506276150628,-9.001268584633738,2.6022373734830446,168.0,0.16303400174367916,1.95640802092415,-10.484425883484787,1.8258295430258107,1800,0.09855072463768116,1.1826086956521742,-12.531743335023526,1.8785938760632483,865
10,1994,2009,2010,2026,3927,4112,91.85629272460938,0.09494427010276303,2.5018871311821757e-09,1.8579067990832696,0.5775778210116731,0.16269571136827773,1.952348536419333,-10.517627365238072,1.5912853904615984,1383,0.2202020202020202,2.642424242424242,-9.07724201135701,2.358809528433774,119.0,0.15192926045016078,1.8231511254019293,-10.876906223386907,1.723556728712641,1735,0.09874826147426982,1.1849791376912377,-12.497427944753243,1.9176420560691656,875
